histone,H3K4me0 ,H3K4me1 ,H3K4me2 ,H3K4me3 ,H3K4ac1 ,H3K9me0K14ac0 ,H3K9me1K14ac0 ,H3K9me2K14ac0 ,H3K9me3K14ac0 ,H3K9ac1K14ac0 ,H3K9me0K14ac1 ,H3K9me1K14ac1 ,H3K9me2K14ac1 ,H3K9me3K14ac1 ,H3K9ac1K14ac1 ,H3K9me2S10ph1K14ac0 ,H3K9me3S10ph1K14ac0 ,H3K18ac0K23ac0 ,H3K18ac1K23ac0 ,H3K18ac0K23ac1 ,H3K18ac1K23ac1 ,H3K18ub1K23ac0 ,H3K27me0K36me0 ,H3K27me1K36me0 ,H3K27me1K36me1 ,H3K27me1K36me2 ,H3K27me1K36me3 ,H3K27me2K36me0 ,H3K27me2K36me1 ,H3K27me2K36me2 ,H3K27me3K36me0 ,H3K27me3K36me1 ,H3K27me3K36me2 ,H3K27me3K36me3 ,H3K27ac1K36me1 ,H3K27ac1K36me2 ,H3K27ac1K36me3 ,H3.3K27me0K36me0 ,H3NORM(41-49),H3K56me0 ,H3K79me0 ,H3K79me1 ,H3K79me2 ,H3K27me0K36me1 ,H3K27me0K36me2 ,H3K27me0K36me3 ,H4(4to17)ac0me0,H4(4to17)K5ac1me0,H4(4to17)K12ac1me0,H4(4to17)K16ac1me0,H4(4to17)K8ac1K12ac1me0,H4(4to17)K5ac1K8ac1me0,H4(4to17)K5ac1K16ac1me0,H4(4to17)K12ac1K16ac1me0,H4(4to17)K8ac1K12ac1K16ac1me0,H4(4to17)K5ac1K8ac1K12ac1me0,H4(4to17)K5ac1K8ac1K16ac1me0,H4(4to17)K5ac1K8ac1K12ac1K16ac1me0,H4(20to23)K20me0,H4(20to23)K20me1,H4(20to23)K20me2,H4(20to23)K20me3,H4(68-78)AltNorm
BMP2_24,-0.969402075,-1.380645275,-1.827062488,-2.426360369,-5.255588055,-0.694743633,-1.051101685,-0.755358338,-2.208248854,-1.96130383,-0.913235068,-1.430080891,-2.205729008,-1.210772872,-2.003423929,-4.387196541,-2.388148785,-1.081114531,-2.180111408,-2.513419867,-2.699639559,-5.210435867,0.334923148,-0.017422676,-0.440608978,-2.634707928,-1.066030145,-1.871500969,-0.391342282,-1.145171404,-1.562222004,-0.359999657,-0.685995817,-1.855350256,-5.233519554,-3.296468258,-5.17057991,-0.450319529,-0.39914155,-1.226436615,-2.57495594,-3.584307671,-2.299689054,0.444370389,-0.715682268,-3.162413597,-0.325510442,-2.47441721,-1.258826494,-1.587548733,-1.797450304,-3.743207455,-2.009172678,-3.836671829,-2.37620759,-1.749208689,-2.258350849,-1.816227436,-0.682292044,-0.972046793,-1.485506296,-1.155142784,0.210473716
BMP2_24,-0.899802923,-1.310073853,-1.748622894,-2.397195101,-5.659498215,-0.733471751,-1.119252443,-0.895466745,-2.538553953,-1.711105943,-0.694820642,-1.331802726,-2.170353889,-0.908744574,-1.992952943,-4.385839462,-2.705102205,-1.04230547,-2.167782784,-2.315856695,-2.451105118,-5.699255943,0.185184002,-0.056800723,-0.135128856,-2.423022032,-1.241175175,-1.530746102,-0.218715191,-0.673562646,-1.59467268,-0.494109631,-0.605442286,-1.307039499,-4.871437073,-3.325648785,-5.246009827,-0.42406261,0.123736501,-0.436884761,-2.134949446,-3.064594269,-1.847580433,0.944239378,-0.8551687,-2.878026009,0.237899184,-1.797296882,-0.679965615,-0.926220298,-1.54361093,-2.937653542,-1.327933431,-2.969416142,-1.70596993,-1.146616101,-1.767997146,-1.2958287,-0.388576746,-0.704941392,-0.85888803,-1.522616029,0.156757951
BMP2_24,-0.254084021,-0.615387619,-1.228978395,-2.008717775,-5.495082378,-0.673366487,-0.357395202,-0.184616029,-2.054137707,-1.659430027,-0.50306046,-0.768153548,-2.010882854,-0.60417527,-1.460148573,-4.257186413,-2.776417494,-0.995080233,-1.916532755,-1.396489978,-2.345050812,-5.454845905,0.071493983,-0.085453808,-0.222691149,-2.419314861,-1.224364996,-1.38755393,-0.253763497,-1.211650372,-1.149904013,-0.281266838,-0.79262352,-1.665102124,-5.052478314,-3.949723005,-4.895378113,0.048545182,-0.008267105,-0.375995994,-1.889058352,-3.313084602,-2.483510494,0.503591001,-1.030882835,-2.973454475,0.668176651,-1.484645844,-0.174129486,-0.89531827,-0.905524254,-3.005477905,-1.249197483,-2.732027054,-1.908453465,-0.944077492,-2.013173998,-1.339215517,-0.859446287,-0.750305891,-0.547187328,-0.614953995,0.63586688
BMP2_4,-0.797549844,-1.278252244,-1.416829824,-2.21987009,-5.396006584,-1.171864629,-0.952778578,-0.878782868,-1.941579342,-1.689859629,-0.797549844,-1.057261348,-2.049613953,-0.832345605,-1.89772737,-5.942169189,-3.74540019,-1.391770601,-2.088806868,-1.908157825,-2.819147825,-6.379935265,-0.482308626,-0.276391506,-0.440316916,-2.538137436,-1.067145944,-1.389288545,-0.285157681,-0.839974523,-1.453010678,-0.583044767,-0.532685757,-1.720732212,-5.585730553,-3.302661896,-4.614901543,-0.947834253,-0.195902109,-0.911234379,-2.162039995,-3.33354044,-2.504642963,-0.029025316,-0.677529573,-2.919728756,0.229224741,-2.056358099,-0.349256933,-0.817471683,-0.235992134,-2.877857208,-1.36007452,-2.603124142,-1.003387928,-0.851667464,-1.603124142,-1.322915554,-2.350694656,-1.056358099,-0.732085884,-1.683269978,-0.273676574
BMP2_4,-0.439042568,-1.050139189,-1.53061223,-2.24180603,-5.281458855,-1.00703764,-0.912902594,-0.261658072,-2.058128834,-2.004462242,-0.957038522,-0.984089613,-1.887204647,-0.666025639,-1.777839065,-6.142642975,-4.829805374,-0.964988708,-1.738226295,-2.016429186,-2.522929192,-6.380619049,-0.66463387,-0.178481221,-0.386519551,-2.227667332,-0.966175199,-1.449374914,-0.337802649,-0.959530592,-1.146000266,-0.37618804,-0.765565157,-1.742172837,-5.930163383,-3.143537521,-4.613596439,-0.669403553,0.135495424,-0.649359822,-1.930806994,-2.919654608,-2.110804558,-0.120348573,-1.181616783,-2.866257191,0.100199103,-2.472156048,-0.592977881,-0.610370994,-0.244274855,-2.682603359,-1.916499376,-3.350256205,-1.248568535,-0.913087368,-1.838916302,-1.38213563,-2.994881392,-0.992478848,-0.767859221,-1.415540218,0.142895341
BMP2_4,-0.949751258,-0.970070839,-1.296827435,-2.41285491,-5.645749092,-1.241259933,-1.769098043,-0.579967499,-1.820271492,-2.192570686,-0.885229468,-1.405500412,-1.964228392,-0.998985887,-1.994390249,-5.092709541,-4.080597401,-1.147049069,-2.027653694,-2.050982475,-2.629539967,-6.155818939,-0.570653081,-0.380050659,-0.710854888,-2.382902384,-1.053882718,-1.477808475,-0.376380205,-0.579107046,-1.726466417,-0.704988003,-1.013636112,-1.486924648,-6.185444355,-3.063993216,-4.779414177,-0.583291054,-0.294001102,-1.081119299,-2.491157532,-3.69532156,-2.468673468,-0.191411734,-0.964335322,-3.050528049,-0.184695542,-2.229089499,-0.425731599,-0.96626693,-1.206409216,-3.04791975,-1.073915005,-2.28212142,-1.350239992,-1.075056076,-1.893007278,-1.339232206,-2.083067656,-1.162697077,-0.60117048,-1.20828557,-0.000541866
BMP2_48,-0.616780162,-1.352532268,-1.602961421,-2.3400774,-5.546152592,-0.502494097,-0.964662135,-0.516121984,-2.20049119,-1.073071122,0.064517558,-0.83336091,-1.744009018,-0.85387224,-1.306095004,-3.632802725,-1.963503838,-0.740532577,-1.622939229,-1.248354316,-1.853469849,-4.58125639,0.644527018,0.437882602,0.017997086,-2.406207561,-1.202027321,-1.270565152,-0.353290617,-1.297859907,-1.535785675,-0.512200058,-1.110562325,-2.007590294,-4.227001667,-2.560091734,-4.342710495,-0.35063827,-0.144780576,-0.221971869,-2.003418207,-3.522931099,-2.072915077,1.218049288,-0.54236424,-2.751736641,0.545472264,-0.974932432,0.228335857,-0.493926048,-0.018571138,-2.182623625,-0.380152702,-2.198220491,-0.805305958,-0.326034307,-1.123358011,-0.69941473,-0.266455412,-0.013733387,-0.647105932,-1.33807826,0.282718778
BMP2_48,-1.131221771,-1.638505459,-1.925617218,-2.631456137,-5.579834938,-0.461695611,-1.040092587,-0.922783613,-2.1811378,-1.535007954,-0.554262221,-1.302734017,-2.1969347,-1.023120165,-1.743190765,-3.517631054,-2.091604948,-1.058759212,-1.839516401,-1.827171087,-2.280653954,-4.629237175,0.364513278,0.102471352,0.111953497,-2.406207561,-1.355709076,-1.266502857,-0.439088643,-1.411021352,-1.518657565,-0.651394188,-1.09645009,-1.839730263,-4.500629902,-2.832479477,-4.747797012,-0.076032758,0.240217686,-0.63164115,-2.0227561,-3.112374783,-2.249361753,1.132477522,-0.582068503,-2.921086073,0.586138606,-1.349161506,-0.017758012,-0.92579782,-0.278955817,-2.379015923,-0.946056485,-2.639953613,-1.278955817,-0.619666457,-1.619666457,-1.23082149,0.00954926,-0.156436205,-0.717432141,-0.87682426,0.294951558
BMP2_8,-0.973947048,-1.197796583,-1.322990179,-2.320041895,-5.570075035,-1.273425817,-1.158744812,-0.746795893,-1.867542624,-1.925898314,-0.95932436,-1.183870077,-2.031346321,-0.992335796,-1.880142689,-6.49064064,-3.6045084,-1.293940067,-2.017360926,-2.203839779,-2.706637859,-7.03231144,-0.085784912,-0.152774811,-0.552666903,-2.143921614,-0.758779407,-1.66286397,-0.544335961,-0.405452371,-1.161607146,-0.662383795,-0.746456504,-1.726577163,-5.442943573,-3.541536808,-4.831829071,-0.49833262,-0.208116412,-0.861222386,-2.282170296,-3.366562366,-1.663077354,0.110958815,-0.735696673,-2.84799695,-0.490478754,-2.266899109,-0.744360566,-1.134470582,-1.085052609,-3.438992977,-1.769141555,-3.283088207,-1.743067861,-1.210434556,-2.038328171,-1.580338359,-2.419590473,-1.366213679,-1.283714652,-1.867111802,0.431347996
BMP2_8,-0.652746081,-0.926891088,-1.51302135,-2.118178129,-5.282585144,-0.931827843,-1.247717261,-0.812092423,-2.082298994,-1.864784598,-0.742798567,-1.028336287,-1.896603942,-0.581465006,-1.811613441,-5.615619659,-4.378647804,-1.254102945,-1.978647828,-1.842758298,-2.542525291,-7.211774826,-0.727356374,-0.135208726,-0.398173213,-2.197519541,-1.140362382,-0.924299598,-0.426192284,-0.379062057,-1.516660213,-0.450534105,-0.597133636,-1.168402314,-5.844717026,-3.207987547,-4.496887207,-0.543651819,-0.190911531,-0.67312336,-2.270685911,-3.092930555,-2.096621513,-0.376225948,-0.789198935,-3.076724529,0.000815034,-2.185499668,-0.532327771,-0.859128118,-0.721691728,-2.975345135,-1.262626767,-2.780697346,-1.457089543,-1.342042804,-1.932700515,-1.487629771,-3.0748806,-1.264584422,-0.752952456,-1.54357326,-0.387713194
