PMID,Title,Authors,Citation,First Author,Journal/Book Abbreviation from PubMed,Publication Year,Create Date,PMCID,NIHMS ID,DOI,,Authors,Author full names,Author(s) ID,Title,Year,Journal/Book  title from Scopus,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link to Scopus Record for article,ISSN,ISBN,CODEN,PubMed ID,Document Type,Publication Stage,Open Access,Source,EID,,Journal Title from Catalog,ISSN,eISSN,StartDate in Catalog,EndDate in Catalog,Type,Resource,Publisher,Link to Publisher Info on TDM,Subscription Time Range Note
17320507,Chromatin modifications and their function,Kouzarides T.,Cell. 2007 Feb 23;128(4):693-705. doi: 10.1016/j.cell.2007.02.005.,Kouzarides T,Cell,2007,2/27/07,,,10.1016/j.cell.2007.02.005,,Kouzarides T.,"Kouzarides, Tony (57207512044)",57207512044,Chromatin Modifications and Their Function,2007,Cell,128,4,,693,705,12,8135,10.1016/j.cell.2007.02.005,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33847076849&doi=10.1016%2fj.cell.2007.02.005&partnerID=40&md5=6f7cf962bfd7b37bc6b1943d0f15b83c,928674,,CELLB,17320507,Review,Final,All Open Access; Bronze Open Access,Scopus,2-s2.0-33847076849,,Cell,0092-8674,1097-4172,1995,(blank),Journal,Cell Press Collection [ECCPC],Elsevier,https://www.elsevier.com/about/policies/text-and-data-mining,
17320508,The role of chromatin during transcription,"Li B, Carey M, Workman JL.",Cell. 2007 Feb 23;128(4):707-19. doi: 10.1016/j.cell.2007.01.015.,Li B,Cell,2007,2/27/07,,,10.1016/j.cell.2007.01.015,,Li B.; Carey M.; Workman J.L.,"Li, Bing (36071923100); Carey, Michael (56686903800); Workman, Jerry L. (7101955369)",36071923100; 56686903800; 7101955369,The Role of Chromatin during Transcription,2007,Cell,128,4,,707,719,12,2695,10.1016/j.cell.2007.01.015,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33847070442&doi=10.1016%2fj.cell.2007.01.015&partnerID=40&md5=aac72060b2be08f5c273a5db49b976c2,928674,,CELLB,17320508,Review,Final,All Open Access; Bronze Open Access,Scopus,2-s2.0-33847070442,,Cell,0092-8674,1097-4172,1995,(blank),Journal,Cell Press Collection [ECCPC],Elsevier,https://www.elsevier.com/about/policies/text-and-data-mining,
22770212,Cancer epigenetics: from mechanism to therapy,"Dawson MA, Kouzarides T.",Cell. 2012 Jul 6;150(1):12-27. doi: 10.1016/j.cell.2012.06.013.,Dawson MA,Cell,2012,7/10/12,,,10.1016/j.cell.2012.06.013,,Dawson M.A.; Kouzarides T.,"Dawson, Mark A. (8584291500); Kouzarides, Tony (57207512044)",8584291500; 57207512044,Cancer epigenetics: From mechanism to therapy,2012,Cell,150,1,,12,27,15,2122,10.1016/j.cell.2012.06.013,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84863621527&doi=10.1016%2fj.cell.2012.06.013&partnerID=40&md5=7f91602627e3e94f2aa0423ce964d7a0,928674,,CELLB,22770212,Review,Final,All Open Access; Bronze Open Access,Scopus,2-s2.0-84863621527,,Cell,0092-8674,1097-4172,1995,(blank),Journal,Cell Press Collection [ECCPC],Elsevier,https://www.elsevier.com/about/policies/text-and-data-mining,
16403636,Genomic DNA methylation: the mark and its mediators,"Klose RJ, Bird AP.",Trends Biochem Sci. 2006 Feb;31(2):89-97. doi: 10.1016/j.tibs.2005.12.008. Epub 2006 Jan 5.,Klose RJ,Trends Biochem Sci,2006,1/13/06,,,10.1016/j.tibs.2005.12.008,,Klose R.J.; Bird A.P.,"Klose, Robert J. (14048558400); Bird, Adrian P. (55556105700)",14048558400; 55556105700,Genomic DNA methylation: The mark and its mediators,2006,Trends in Biochemical Sciences,31,2,,89,97,8,1922,10.1016/j.tibs.2005.12.008,https://www.scopus.com/inward/record.uri?eid=2-s2.0-32344450824&doi=10.1016%2fj.tibs.2005.12.008&partnerID=40&md5=11d691f9a18f3c47e4e1a24aa696ec0b,9680004,,TBSCD,16403636,Review,Final,,Scopus,2-s2.0-32344450824,,Trends in biochemical sciences (Amsterdam. Regular ed.),0968-0004,1362-4326,1/1/95,(blank),Journal,ScienceDirect Freedom Collection 2021,Elsevier,https://www.elsevier.com/about/policies/text-and-data-mining,
17320500,Epigenetics: a landscape takes shape,"Goldberg AD, Allis CD, Bernstein E.",Cell. 2007 Feb 23;128(4):635-8. doi: 10.1016/j.cell.2007.02.006.,Goldberg AD,Cell,2007,2/27/07,,,10.1016/j.cell.2007.02.006,,Goldberg A.D.; Allis C.D.; Bernstein E.,"Goldberg, Aaron D. (35388031200); Allis, C. David (55666730300); Bernstein, Emily (8666483400)",35388031200; 55666730300; 8666483400,Epigenetics: A Landscape Takes Shape,2007,Cell,128,4,,635,638,3,1733,10.1016/j.cell.2007.02.006,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33847047461&doi=10.1016%2fj.cell.2007.02.006&partnerID=40&md5=a0788919bf87354ee364fcf373e23528,928674,,CELLB,17320500,Short survey,Final,All Open Access; Bronze Open Access,Scopus,2-s2.0-33847047461,,Cell,0092-8674,1097-4172,1995,(blank),Journal,Cell Press Collection [ECCPC],Elsevier,https://www.elsevier.com/about/policies/text-and-data-mining,
17320505,The mammalian epigenome,"Bernstein BE, Meissner A, Lander ES.",Cell. 2007 Feb 23;128(4):669-81. doi: 10.1016/j.cell.2007.01.033.,Bernstein BE,Cell,2007,2/27/07,,,10.1016/j.cell.2007.01.033,,Bernstein B.E.; Meissner A.; Lander E.S.,"Bernstein, Bradley E. (7102881574); Meissner, Alexander (7102407491); Lander, Eric S. (16151582900)",7102881574; 7102407491; 16151582900,The Mammalian Epigenome,2007,Cell,128,4,,669,681,12,1702,10.1016/j.cell.2007.01.033,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33847032960&doi=10.1016%2fj.cell.2007.01.033&partnerID=40&md5=cc58e2142b23e7b42eb13d090d274986,928674,,CELLB,17320505,Review,Final,All Open Access; Bronze Open Access,Scopus,2-s2.0-33847032960,,Cell,0092-8674,1097-4172,1995,(blank),Journal,Cell Press Collection [ECCPC],Elsevier,https://www.elsevier.com/about/policies/text-and-data-mining,
11136970,Cofactor dynamics and sufficiency in estrogen receptor-regulated transcription,"Shang Y, Hu X, DiRenzo J, Lazar MA, Brown M.",Cell. 2000 Dec 8;103(6):843-52. doi: 10.1016/s0092-8674(00)00188-4.,Shang Y,Cell,2000,1/4/01,,,10.1016/s0092-8674(00)00188-4,,Shang Y.; Hu X.; DiRenzo J.; Lazar M.A.; Brown M.,"Shang, Yongfeng (55790663400); Hu, Xiao (56196495600); DiRenzo, James (6602987404); Lazar, Mitchell A (7201649830); Brown, Myles (7405385272)",55790663400; 56196495600; 6602987404; 7201649830; 7405385272,Cofactor dynamics and sufficiency in estrogen receptor-regulated transcription,2000,Cell,103,6,,843,852,9,1452,10.1016/S0092-8674(00)00188-4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033637703&doi=10.1016%2fS0092-8674%2800%2900188-4&partnerID=40&md5=eb671ae8432ca46d538f521b985ac4f9,928674,,CELLB,11136970,Article,Final,All Open Access; Bronze Open Access,Scopus,2-s2.0-0033637703,,Cell,0092-8674,1097-4172,1995,(blank),Journal,Cell Press Collection [ECCPC],Elsevier,https://www.elsevier.com/about/policies/text-and-data-mining,
14675539,"Estrogen receptor-alpha directs ordered, cyclical, and combinatorial recruitment of cofactors on a natural target promoter","Métivier R, Penot G, Hübner MR, Reid G, Brand H, Kos M, Gannon F.",Cell. 2003 Dec 12;115(6):751-63. doi: 10.1016/s0092-8674(03)00934-6.,Métivier R,Cell,2003,12/17/03,,,10.1016/s0092-8674(03)00934-6,,Métivier R.; Penot G.; Hübner M.R.; Reid G.; Brand H.; Koš M.; Gannon F.,"Métivier, Raphaël (6603912066); Penot, Graziella (6602268074); Hübner, Michael R. (56819301600); Reid, George (15733034900); Brand, Heike (8689949800); Koš, Martin (7005011646); Gannon, Frank (7005975379)",6603912066; 6602268074; 56819301600; 15733034900; 8689949800; 7005011646; 7005975379,"Estrogen receptor-α directs ordered, cyclical, and combinatorial recruitment of cofactors on a natural target promoter",2003,Cell,115,6,,751,763,12,1248,10.1016/S0092-8674(03)00934-6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-2642544592&doi=10.1016%2fS0092-8674%2803%2900934-6&partnerID=40&md5=5b046a0c96c9b16ff1d28306fba07bc6,928674,,CELLB,14675539,Article,Final,All Open Access; Bronze Open Access,Scopus,2-s2.0-2642544592,,Cell,0092-8674,1097-4172,1995,(blank),Journal,Cell Press Collection [ECCPC],Elsevier,https://www.elsevier.com/about/policies/text-and-data-mining,
18662547,The NAD+-dependent deacetylase SIRT1 modulates CLOCK-mediated chromatin remodeling and circadian control,"Nakahata Y, Kaluzova M, Grimaldi B, Sahar S, Hirayama J, Chen D, Guarente LP, Sassone-Corsi P.",Cell. 2008 Jul 25;134(2):329-40. doi: 10.1016/j.cell.2008.07.002.,Nakahata Y,Cell,2008,7/30/08,PMC3526943,NIHMS106176,10.1016/j.cell.2008.07.002,,Nakahata Y.; Kaluzova M.; Grimaldi B.; Sahar S.; Hirayama J.; Chen D.; Guarente L.P.; Sassone-Corsi P.,"Nakahata, Yasukazu (10539604300); Kaluzova, Milota (16734989700); Grimaldi, Benedetto (16030804100); Sahar, Saurabh (6603140262); Hirayama, Jun (8668236000); Chen, Danica (9846461500); Guarente, Leonard P. (7006041807); Sassone-Corsi, Paolo (7102287937)",10539604300; 16734989700; 16030804100; 6603140262; 8668236000; 9846461500; 7006041807; 7102287937,The NAD+-Dependent Deacetylase SIRT1 Modulates CLOCK-Mediated Chromatin Remodeling and Circadian Control,2008,Cell,134,2,,329,340,11,1075,10.1016/j.cell.2008.07.002,https://www.scopus.com/inward/record.uri?eid=2-s2.0-47549088250&doi=10.1016%2fj.cell.2008.07.002&partnerID=40&md5=82b72fb727f9bc56dad279bcb5f5ad3d,928674,,CELLB,18662547,Article,Final,All Open Access; Bronze Open Access; Green Open Access,Scopus,2-s2.0-47549088250,,Cell,0092-8674,1097-4172,1995,(blank),Journal,Cell Press Collection [ECCPC],Elsevier,https://www.elsevier.com/about/policies/text-and-data-mining,
14718166,Histone H3.1 and H3.3 complexes mediate nucleosome assembly pathways dependent or independent of DNA synthesis,"Tagami H, Ray-Gallet D, Almouzni G, Nakatani Y.",Cell. 2004 Jan 9;116(1):51-61. doi: 10.1016/s0092-8674(03)01064-x.,Tagami H,Cell,2004,1/14/04,,,10.1016/s0092-8674(03)01064-x,,Tagami H.; Ray-Gallet D.; Almouzni G.; Nakatani Y.,"Tagami, Hideaki (7101834009); Ray-Gallet, Dominique (6603330850); Almouzni, Geneviève (7005207257); Nakatani, Yoshihiro (7202547582)",7101834009; 6603330850; 7005207257; 7202547582,Histone H3.1 and H3.3 Complexes Mediate Nucleosome Assembly Pathways Dependent or Independent of DNA Synthesis,2004,Cell,116,1,,51,61,10,987,10.1016/S0092-8674(03)01064-X,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0742304304&doi=10.1016%2fS0092-8674%2803%2901064-X&partnerID=40&md5=ed4ac68621273f1e707afbef5350c485,928674,,CELLB,14718166,Article,Final,All Open Access; Bronze Open Access,Scopus,2-s2.0-0742304304,,Cell,0092-8674,1097-4172,1995,(blank),Journal,Cell Press Collection [ECCPC],Elsevier,https://www.elsevier.com/about/policies/text-and-data-mining,
