PMID,Title,Authors,Citation,First Author,Journal/Book Abbreviation from PubMed,Publication Year,Create Date,PMCID,NIHMS ID,DOI,,Authors,Author full names,Author(s) ID,Title,Year,Journal/Book  title from Scopus,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link to Scopus Record for article,ISSN,ISBN,CODEN,PubMed ID,Document Type,Publication Stage,Open Access,Source,EID,,Journal Title from Catalog,ISSN,eISSN,StartDate in Catalog,EndDate in Catalog,Type,Resource,Publisher,Link to Publisher Info on TDM,Subscription Time Range Note
16648099,New therapeutic targets in cancer: the epigenetic connection,"Herranz M, Esteller M.",Clin Transl Oncol. 2006 Apr;8(4):242-9. doi: 10.1007/BF02664934.,Herranz M,Clin Transl Oncol,2006,5/2/06,,,10.1007/BF02664934,,Herranz M.; Esteller M.,"Herranz, Michel (57206219337); Esteller, Manel (14719291800)",57206219337; 14719291800,New therapeutic targets in cancer: The epigenetic connection,2006,Clinical and Translational Oncology,8,4,,242,249,7,26,10.1007/BF02664934,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33746848188&doi=10.1007%2fBF02664934&partnerID=40&md5=ebd7b84dcdac6eb4633bc78f38f2f33f,1699048X,,,16648099,Article,Final,,Scopus,2-s2.0-33746848188,,Clinical & translational oncology,1699-048X,1699-3055,1/1/05,12/31/16,Journal,SpringerLink Contemporary,SpringerNature,https://dev.springernature.com/,
17134965,Gene expression regulation and cancer,"Delgado MD, León J.",Clin Transl Oncol. 2006 Nov;8(11):780-7. doi: 10.1007/s12094-006-0132-7.,Delgado MD,Clin Transl Oncol,2006,12/1/06,,,10.1007/s12094-006-0132-7,,Dolores Delgado M.; León J.,"Dolores Delgado, M. (7202169883); León, Javier (7202142731)",7202169883; 7202142731,Gene expression regulation and cancer,2006,Clinical and Translational Oncology,8,11,,780,787,7,23,10.1007/s12094-006-0132-7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-39049195055&doi=10.1007%2fs12094-006-0132-7&partnerID=40&md5=fcafd1ddf112f5896cf0a4f610b6815b,1699048X,,,17134965,Article,Final,,Scopus,2-s2.0-39049195055,,Clinical & translational oncology,1699-048X,1699-3055,1/1/05,12/31/16,Journal,SpringerLink Contemporary,SpringerNature,https://dev.springernature.com/,
18726233,Nuclear reassembly in vitro is independent of nucleosome/chromatin assembly,"Jiang Z, Zhang B, Zhai Z.",Sci China C Life Sci. 1998 Oct;41(5):512-9. doi: 10.1007/BF02882889.,Jiang Z,Sci China C Life Sci,1998,8/30/08,,,10.1007/BF02882889,,Jiang Z.; Zhang B.; Zhai Z.,"Jiang, Zhengfan (21635559900); Zhang, Bo (7406908878); Zhai, Zhonghe (7101687282)",21635559900; 7406908878; 7101687282,Nuclear reassembly in vitro is independent of nucleosome/chromatin assembly,1998,"Science in China, Series C: Life Sciences",41,5,,512,519,7,2,10.1007/BF02882889,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0346843530&doi=10.1007%2fBF02882889&partnerID=40&md5=1ab2d904eecdf3ff482f2047ce1441ab,10069305,,SCCLF,,Article,Final,,Scopus,2-s2.0-0346843530,,"Science in China. Series C, Life sciences",1006-9305,1862-2798,2/1/97,12/31/09,Journal,SpringerLink Contemporary,SpringerNature,https://dev.springernature.com/,
12242498,Defects in yeast RNA polymerase II transcription elicit hypersensitivity to G1 arrest induced by Kluyveromyces lactis zymocin,"Kitamoto HK, Jablonowski D, Nagase J, Schaffrath R.",Mol Genet Genomics. 2002 Sep;268(1):49-55. doi: 10.1007/s00438-002-0720-3. Epub 2002 Jul 12.,Kitamoto HK,Mol Genet Genomics,2002,9/21/02,,,10.1007/s00438-002-0720-3,,Kitamoto H.; Jablonowski D.; Nagase J.; Schaffrath R.,"Kitamoto, H. (6701651097); Jablonowski, D. (6701521650); Nagase, J. (57189271967); Schaffrath, R. (6603920402)",6701651097; 6701521650; 57189271967; 6603920402,Defects in yeast RNA polymerase II transcription elicit hypersensitivity to G1 arrest induced by Kluyveromyces lactis zymocin,2002,Molecular Genetics and Genomics,268,1,,49,55,6,14,10.1007/s00438-002-0720-3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036384945&doi=10.1007%2fs00438-002-0720-3&partnerID=40&md5=b90b4075320cc2900ef03710226e5da6,16174615,,MGGOA,12242498,Article,Final,,Scopus,2-s2.0-0036384945,,Molecular genetics and genomics : MGG,1617-4615,1617-4623,1/1/01,12/31/20,Journal,SpringerLink Contemporary,SpringerNature,https://dev.springernature.com/,
16909909,MSL proteins and the regulation of gene expression,"Rea S, Akhtar A.",Curr Top Microbiol Immunol. 2006;310:117-40. doi: 10.1007/3-540-31181-5_7.,Rea S,Curr Top Microbiol Immunol,2006,8/17/06,,,10.1007/3-540-31181-5_7,,Rea S.; Akhtar A.,"Rea, S. (57202572221); Akhtar, A. (7005405966)",57202572221; 7005405966,MSL proteins and the regulation of gene expression,2006,Current Topics in Microbiology and Immunology,310,,,117,140,23,16,10.1007/3-540-31181-5_7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33748097000&doi=10.1007%2f3-540-31181-5_7&partnerID=40&md5=ab4f5584936b401d5d3dfd17aa17d735,0070217X,3540311807; 978-354031180-5,CTMIA,16909909,Review,Final,,Scopus,2-s2.0-33748097000,,Current topics in microbiology and immunology,0070-217X,(blank),2005,(blank),Journal,Springer Book Series,SpringerNature,https://dev.springernature.com/,
17623908,"Participation of histones, histone modifying enzymes and histone chaperones in vertebrate cell functions","Kikuchi H, Barman HK, Nakayama M, Takami Y, Nakayama T.",Subcell Biochem. 2006;40:225-43. doi: 10.1007/978-1-4020-4896-8_13.,Kikuchi H,Subcell Biochem,2006,7/13/07,,,10.1007/978-1-4020-4896-8_13,,Kikuchi H.; Barman H.K.; Nakayama M.; Takami Y.; Nakayama T.,"Kikuchi, Hidehiko (7402242171); Barman, Hirak Kumar (13805826800); Nakayama, Masami (16465008500); Takami, Yasunari (13806122200); Nakayama, Tatsuo (35426792900)",7402242171; 13805826800; 16465008500; 13806122200; 35426792900,"Participation of histones, histone modifying enzymes and histone chaperones in vertebrate cell functions.",2006,Sub-cellular biochemistry,40,,,225,243,18,23,10.1007/978-1-4020-4896-8_13,https://www.scopus.com/inward/record.uri?eid=2-s2.0-34547451024&doi=10.1007%2f978-1-4020-4896-8_13&partnerID=40&md5=a2025e3e1c4ddd179383b2a8527fb1d0,3060225,,,17623908,Review,Final,,Scopus,2-s2.0-34547451024,,Sub-cellular biochemistry,0306-0225,2542-8810,2005,(blank),Journal,Springer Book Series,SpringerNature,https://dev.springernature.com/,
9539951,Hormone action and chromatin remodelling,"Robyr D, Wolffe P.",Cell Mol Life Sci. 1998 Feb;54(2):113-24. doi: 10.1007/s000180050130.,Robyr D,Cell Mol Life Sci,1998,4/16/98,,,10.1007/s000180050130,,Robyr D.; Wolffe A.P.,"Robyr, D. (6603228141); Wolffe, A.P. (7103188906)",6603228141; 7103188906,Hormone action and chromatin remodelling,1998,Cellular and Molecular Life Sciences,54,2,,113,124,11,18,10.1007/s000180050130,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0031894879&doi=10.1007%2fs000180050130&partnerID=40&md5=c906e16799ec3f3e0bb36ca670b293aa,1420682X,,CMLSF,9539951,Review,Final,,Scopus,2-s2.0-0031894879,,Cellular and molecular life sciences : CMLS,1420-682X,1420-9071,1/1/97,(blank),Journal,SpringerLink Contemporary,SpringerNature,https://dev.springernature.com/,
9487383,Linking histone acetylation to transcriptional regulation,"Mizzen CA, Allis CD.",Cell Mol Life Sci. 1998 Jan;54(1):6-20. doi: 10.1007/s000180050121.,Mizzen CA,Cell Mol Life Sci,1998,3/6/98,,,10.1007/s000180050121,,Mizzen C.A.; Allis C.D.,"Mizzen, C.A. (6701559654); Allis, C.D. (55666730300)",6701559654; 55666730300,Linking histone acetylation to transcriptional regulation,1998,Cellular and Molecular Life Sciences,54,1,,6,20,14,190,10.1007/s000180050121,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0031964479&doi=10.1007%2fs000180050121&partnerID=40&md5=2af55ad99b028f0a88f51f0c0ccc1e1a,1420682X,,CMLSF,9487383,Review,Final,,Scopus,2-s2.0-0031964479,,Cellular and molecular life sciences : CMLS,1420-682X,1420-9071,1/1/97,(blank),Journal,SpringerLink Contemporary,SpringerNature,https://dev.springernature.com/,
9639653,Remodeling of chromatin loops does not account for specification of replication origins during Xenopus development,"Maric C, Hyrien O.",Chromosoma. 1998 Jun;107(3):155-65. doi: 10.1007/s004120050292.,Maric C,Chromosoma,1998,6/26/98,,,10.1007/s004120050292,,Marie C.; Hyrien O.,"Marie, Chrystelle (7006731055); Hyrien, Olivier (35616990200)",7006731055; 35616990200,Remodeling of chromatin loops does not account for specification of replication origins during Xenopus development,1998,Chromosoma,107,3,,155,165,10,8,10.1007/s004120050292,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0031903512&doi=10.1007%2fs004120050292&partnerID=40&md5=97b9899d16d8b925e5bac511357174fe,95915,,CHROA,9639653,Article,Final,,Scopus,2-s2.0-0031903512,,Chromosoma,0009-5915,1432-0886,1/1/97,(blank),Journal,SpringerLink Contemporary,SpringerNature,https://dev.springernature.com/,
9914371,Microinjection of antibodies to centromere protein CENP-A arrests cells in interphase but does not prevent mitosis,"Figueroa J, Saffrich R, Ansorge W, Valdivia MM.",Chromosoma. 1998 Dec;107(6-7):397-405. doi: 10.1007/s004120050323.,Figueroa J,Chromosoma,1998,1/23/99,,,10.1007/s004120050323,,Figueroa J.; Saffrich R.; Ansorge W.; Valdivia M.,"Figueroa, Javier (57197377729); Saffrich, Rainer (6603935296); Ansorge, Wilhelm (7005995513); Valdivia, Manuel (8978503600)",57197377729; 6603935296; 7005995513; 8978503600,Microinjection of antibodies to centromere protein CENP-A arrests cells in interphase but does not prevent mitosis,1998,Chromosoma,107,45084,,397,405,8,32,10.1007/s004120050323,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032417220&doi=10.1007%2fs004120050323&partnerID=40&md5=976a6bdb43c181706bff83774d29df12,95915,,CHROA,9914371,Conference paper,Final,,Scopus,2-s2.0-0032417220,,Chromosoma,0009-5915,1432-0886,1/1/97,(blank),Journal,SpringerLink Contemporary,SpringerNature,https://dev.springernature.com/,
