,word,count
0,histone,2208
1,h3,387
2,hdac,318
3,h3 histone,309
4,h4,297
5,hat,183
6,snf swi,168
7,h2a,165
8,deacetylase histone,156
9,h2b,150
10,a cenp,138
11,brg1,115
12,acetyltransferase histone,106
13,h4 histone,103
14,h2a z,102
15,h1,100
16,core histone,99
17,cbp,98
18,p53,95
19,h1 histone,93
20,hdac1,89
21,h2a h2b,88
22,h3k9me3,84
23,h3 h4,81
24,histone octamer,79
25,h3k27me3,78
26,h3k4me3,74
27,histone protein,70
28,3 h3,68
29,h3k9,67
30,p300,62
31,sirt1,61
32,hmgb1,59
33,h2a histone,59
34,cbp p300,58
35,actin,58
36,histone variant,57
37,hdac2,57
38,dnmt1,57
39,brm,57
40,hd,56
41,mnase,55
42,ezh2,55
43,tip60,54
44,luciferase,54
45,chd1,54
46,myc,52
47,mecp2,52
48,ii polymerase rna,52
49,hp1,52
50,h3k4,51
51,actin beta,51
52,h,49
53,gcn5,49
54,cenh3,49
55,ciita,48
56,gr,47
57,fact,47
58,1 caf,46
59,kappab nf,44
60,arid1um,43
61,53bp1,43
62,pcaf,42
63,hira,42
64,bdnf,42
65,pcna,40
66,chaperon histone,40
67,atpase,40
68,dnmt,39
69,p,38
70,mta1,38
71,iswus,38
72,gapdh,38
73,t,37
74,sirt7,37
75,ino80,37
76,d,37
77,atm,37
78,mapk,34
79,clock,34
80,ar,34
81,tbp,33
82,swr1,33
83,lsd1,33
84,baf,33
85,gamma ifn,32
86,rsc,31
87,p21,31
88,insulin,31
89,dnase i,31
90,trrap,30
91,sp1,30
92,sin3,30
93,rb,30
94,h3k27,30
95,tf,29
96,ii pol,29
97,histone methyltransferase,29
98,histone linker,29
99,h3k9me2,29
100,1 parp,29
101,tau,27
102,mdc1,27
103,hmt,27
104,h2ax,27
105,er,27
106,c,27
107,satb1,26
108,h3k27ac,26
109,foxp3,26
110,cd4,26
111,s,25
112,pr,25
113,oct4,25
114,ii pol rna,25
115,h3k9ac,25
116,asf1,25
117,acf,25
118,1 src,25
119,1 h3,25
120,ubiquitin,24
121,tnfalfa,24
122,sir2,24
123,parp1,24
124,nurd,24
125,micrococcal nuclease,24
126,gammah2ax,24
127,eralpha,24
128,dnmt3b,24
129,dna histone,24
130,daxx,24
131,creb,24
132,1beta il,24
133,saga,23
134,gst,23
135,egf,23
136,brd4,23
137,ang ii,23
138,suv39h1,22
139,prc2,22
140,h3k9me,22
141,sox2,21
142,snf2 swi2,21
143,hp1alpha,21
144,chd4,21
145,ach4,21
146,4 il,21
147,parp,20
148,p150,20
149,gfp,20
150,gal4,20
151,dna methyltransferase,20
152,bmal1,20
153,adnp,20
154,sp3,19
155,rnapii,19
156,2 erk1,19
157,vegf,18
158,igg,18
159,h3k4me2,18
160,c ebpbeta,18
161,brca1,18
162,alpha tnf,18
163,1alpha hif,18
164,snf2h,17
165,rsf,17
166,nucleolin,17
167,mof,17
168,hsf1,17
169,hat1,17
170,e2f1,17
171,atrx,17
172,sarlc,16
173,protalpha,16
174,prb,16
175,polymerase rna,16
176,h5,16
177,h3 h4 histone,16
178,h1t,16
179,gh5,16
180,gamma h2ax,16
181,g,16
182,demethylase histone,16
183,c myc,16
184,brd9,16
185,beta tgf,16
186,b,16
187,androgen receptor,16
188,tr,15
189,stat6,15
190,ssrp1,15
191,rad51,15
192,pcg protein,15
193,nipp1,15
194,n,15
195,hdac3,15
196,h4k20,15
197,erk,15
198,enzyme histone modify,15
199,e,15
200,domain fold histone,15
201,cpc,15
202,clr4,15
203,cid,15
204,caf p,15
205,brd7,15
206,bavah,15
207,acetyl histone transferase,15
208,1 nap,15
209,1 assembly chromatin factor,15
210,1 ap,15
211,tdg,14
212,tat,14
213,rnf8,14
214,receptor steroid,14
215,pbaf,14
216,nap1,14
217,mkl1,14
218,menin,14
219,mbd3,14
220,ing2,14
221,harp8,14
222,foxa1,14
223,estrogen receptor,14
224,core histone octamer,14
225,cntf,14
226,binding creb protein,14
227,a,14
228,1 heterochromatin protein,14
229,snf2,13
230,r,13
231,p400,13
232,nurf,13
233,npm1,13
234,norc,13
235,m,13
236,ho,13
237,harp5,13
238,h2a x,13
239,glucocorticoid receptor,13
240,egfr,13
241,chd3,13
242,chaf1um,13
243,ach3,13
244,3 histone,13
245,yl1,12
246,rpa,12
247,rnf168,12
248,re,12
249,pi3k,12
250,nucleoplasmin,12
251,nanog,12
252,lsd2,12
253,kmt,12
254,kdm5um,12
255,ini1,12
256,hdaci,12
