geneid,gene,domain,Target entity
90780,1190004M21Rik,Pygopus Family PHD Finger,
30827,2410002I16Rik,PHD,
7158,53BP1,Tumor Protein P53 Binding Protein,
30827,5830420C16Rik,PHD,
57221,A7322,WD40 Family,
11177,ACF1,Bromodomain,
8028,AF10,PHD,
4302,AF17,PHD,
326,AIRE,PHD,"H3K4, H3K4me3, DNA motif"
326,AIRE1,PHD,
4297,ALL-1,Bromodomain,
29028,ANCCA,Bromodomain,
287,ANK-2,Ankyrin Family,
287,ANK2,Ankyrin Family,
326,APECED,PHD,
326,APS1,PHD,
326,APSI,PHD,
57221,ARFGEF3,WD40 Family,
8997,ARHGEF24,PHD,
55870,ASH11,BAH Family,
55870,ASH1L,BAH Family,H3K36
55870,ASH1L1,Bromodomain,
4683,AT-V1,Nibrin,
4683,AT-V2,Nibrin,
29028,ATAD2,Bromodomain,
54454,ATAD2B,Bromodomain,"H1.4, H2A, H2B, H3 and H4"
546,ATRX,ADD Domain,"H3K9me2, H3K9me3, H3K4"
4683,ATV,Nibrin,
79813,bA188C12.1,Bromodomain,
64094,bA270C4A.1,Bromodomain,
6872,BA2R,Bromodomain,
64094,bA37D8.1,Bromodomain,
169981,bA445O16.1,TUDOR,
221400,bA446F17.4,TUDOR,
6599,BAF155,SWI/SNF Related,
6601,BAF170,SWI/SNF Related,
55193,Baf180,Bromodomain,
6595,BAF190,SWI/SNF Related,
6597,BAF190A,SWI/SNF Related,
6595,BAF190B,Bromodomain,
8289,Baf250,Bromodomain,
55274,BAF45a,PHD,
8193,BAF45b,PHD,
8110,BAF45C,Tandem-PHD,
5977,BAF45d,PHD,
6598,BAF47,SWI/SNF Related,
6605,BAF57,SWI/SNF Related,
6602,Baf60,Bromodomain,
6602,BAF60A,SWI/SNF Related,
6603,BAF60B,SWI/SNF Related,
6604,BAF60C,SWI/SNF Related,
22893,BAHD1,Bromo Adjacent Homology Domain Containing,H3K27me3
10919,BAT8,Ankyrin Family,
11177,BAZ1A,Bromodomain,
9031,BAZ1B,Bromodomain,"H2AXT142, H3"
11176,BAZ2A,Bromodomain,"H4K16ac, DNA motif"
29994,BAZ2B,Bromodomain,"H1.4ac, H2Aac, H2Bac, H3ac,Â  H4Kac"
6606,BCD541,TUDOR,
51317,BHC80,PHD,
112885,BHC80L,PHD,
11091,BIG-3,WD40 Family,
57221,BIG3,WD40 Family,
51317,BM-006,PHD,
84656,BM045,PWWP Family,
23629,BP75,Bromodomain,
2186,BPTF,PHD,
7862,BR140,Bromodomain,
10771,BRAM1,PWWP Family,
287,brank-2,Ankyrin Family,
23774,BRD1,PWWP Family,"H3K36me3, H3"
6046,BRD2,Bromodomain,"H3K9me2, H3K14me2, H4K5ac, H4K12ac"
6046,BRD2-IT1,Bromodomain,
8019,BRD3,Bromodomain,"H3K9me2, H3K14me2, H4K5ac, H4K12ac"
23476,BRD4,Bromodomain,"H3K9, H3K14, H4K5, H4K12"
676,BRD6,Bromodomain,
29117,BRD7,Bromodomain,"H3K9ac, H3K14ac, H3K8ac"
23629,BRD7P3,Bromodomain,
10902,BRD8,Bromodomain,
65980,BRD9,Bromodomain,H3
676,BRDT,Bromodomain,"H4K5ac, H4K8ac"
6597,Brg1,Bromodomain,
23774,BRL,Bromodomain,
6595,BRM,SWI/SNF Related,
254065,BRODL,Bromodomain,
7862,BRPF1,PWWP Family,H3K36me3
23774,BRPF2,PWWP Family,
27154,BRPF3,Bromodomain,
54014,BRWD1,Bromodomain,H3
55023,BRWD2,Bromodomain,
254065,BRWD3,Bromodomain,
10771,BS69,PWWP Family,
11083,BYE1,PHD,
6607,C-BCD541,TUDOR,
219771,C10orf9,CXXC Finger Protein,
9866,C11orf29,Bromodomain,
10944,C11orf58,Bromodomain,
3925,C1orf215,TUDOR,
51230,C20orf104,TTD Family,
11083,C20orf158,PHD,
54014,C21orf107,Bromodomain,
54887,C6orf107,PHD,
10919,C6orf30,Ankyrin Family,
57221,C6orf92,WD40 Family,
8850,CAF,Bromodomain,
1483,CAP,Bromodomain,
23310,CAP-D3,Methyl Reader,
54892,CAP-G2,Methyl Reader,
23310,CAPD3,Methyl Reader,
54892,CAPG2,Methyl Reader,
5956,CBBM,Bromodomain,
219771,CBCP1,CXXC Finger Protein,
1387,CBP,Bromodomain,
10951,CBX,Chromobox,
10951,Cbx1,Bromodomain,
84733,CBX2,Chromodomain,"H3K9me3, H3K27me3"
11335,Cbx3,Bromodomain,
8535,CBX4,Chromodomain,H3K9me3
23468,Cbx5,Bromodomain,
23466,CBX6,Chromodomain,"H3K9me3, H3K27me3"
23492,CBX7,Chromobox,"H3K9me3, H3K27me3"
57332,CBX8,Chromodomain,"H3K9me3, H3K27me3"
112869,CCDC101,TTD Family,"H3K4me, H3K4me3"
6872,CCG1,Bromodomain,
6872,CCGS,Bromodomain,
219771,CCNX,CXXC Finger Protein,
219771,CCNY,CXXC Finger Protein,
84733,CDCA6,Chromodomain,
1033,CDI1,Bromodomain,
1033,CDKN3,Bromodomain,
9426,CDY,Chromodomain,
9425,CDY-like,Chromodomain,
124359,CDY-like 2,Chromodomain,
9085,CDY1,Chromodomain,H4
9085,CDY1A,Chromodomain,
253175,CDY1B,Chromodomain,H4
9426,CDY2,Chromodomain,
9426,CDY2A,Chromodomain,
203611,CDY2B,Chromodomain,
9085,CDYA,Chromodomain,
9425,CDYL,Chromodomain,H4
9425,CDYL1,Chromodomain,
124359,CDYL2,Chromodomain,H3K9me3
27443,CECR2,Bromodomain,"H2A, H3"
29117,CELTIX1,Bromodomain,
222229,CENP-33,Leucine Rich Repeats and WD Repeat Domain Containing,
5253,CENP-35,PHD Finger Protein,
222229,CENP33,Bromodomain,
8110,CERD4,Tandem-PHD,
11091,CFAP89,WD40 Family,
30827,CFP1,CXXC Finger Protein,
30827,CGBP,CXXC Finger Protein,
50810,CGI-142,PWWP Family,
51105,CGI-72,TUDOR,
1108,CHD-4,PHD,
26038,CHD-5,Double Chromodomain,
84181,CHD-6,Double Chromodomain,
1105,CHD1,Chromodomain Helicase DNA Binding Protein,
1106,CHD2,Double Chromodomain,
1826,CHD2-42,Double Chromodomain,
1826,CHD2-52,Double Chromodomain,
1107,CHD3,Double Chromodomain,
1108,CHD4,PHD,
