geneid,gene,domain,Target entity
6419,MAR1,Histone Methyltransferase Family,
8085,AAD10,Histone Methyltransferase Family,
8202,ACTR,Acetyltransferase Family,
3730,ADMLX,Histone Methyltransferase,
8202,AIB-1,Acetyltransferase Family,
8202,AIB1,Acetyltransferase Family,
10327,AKR1A1,Histone Methyltransferase,
10327,ALDR1,Histone Methyltransferase,
4297,ALL-1,Histone Methyltransferase Family,
2671,ALR,Histone Methyltransferase,H3K4
2122,AML1-EVI-1,Histone Methyltransferase,H4R3
3276,ANM1,Arinine Methyltransferase Family,H4R3
10419,ANM5,Histone Methyltransferase,
55170,ANM6,Histone Methyltransferase,
3730,ANOS1,Histone Methyltransferase,
64324,ARA267,Histone Methyltransferase,
10327,ARM,Histone Methyltransferase,
55870,ASH11,Histone Methyltransferase,
55870,ASH1L,Histone Methyltransferase,H3K36
55870,ASH1L1,Histone Methyltransferase Family,
57325,ATAC2,Histone Acetyltransferase,
79813,bA188C12.1,Histone Methyltransferase Family,
6872,BA2R,Acetyltransferase Family,
64754,bA74P14.1,Histone Methyltransferase Family,
10919,BAT8,Histone Methyltransferase,
8195,BBS6,Histone Methyltransferase,
611,BCP,Histone Methyltransferase,
11107,BCS2,Histone Methyltransferase,
8202,bHLHe42,Acetyltransferase Family,
8648,bHLHe74,Acetyltransferase Family,
9575,bHLHe8,Acetyltransferase Family,
639,BLIMP1,Histone Methyltransferase,H3K9
611,BOP,Histone Methyltransferase,
2138,BOR,Histone Methyltransferase,H2AXT142
2138,BOS1,Histone Methyltransferase,
83852,C13orf4,Histone Methyltransferase,
84193,C14orf154,Histone Methyltransferase Family,
79680,C22orf29,Histone Methyltransferase,
10919,C6orf30,Histone Methyltransferase Family,
8850,CAF,Histone Acetyltransferase,
8202,CAGH16,Acetyltransferase Family,
8085,CAGL114,Histone Methyltransferase,H3K4
815,CaMKII,Histone Methyltransferase,
10498,CARM1,Histone Methyltransferase,H3R17
5956,CBBM,Histone Acetyltransferase,
1387,CBP,Acetyltransferase Family,
611,CBT,Histone Methyltransferase,
883,CCBL1,Histone Acetyltransferase,
6872,CCG1,Acetyltransferase Family,
6872,CCGS,Acetyltransferase Family,
51111,CGI-85,Histone Methyltransferase Family,
51111,CGI85,Histone Methyltransferase Family,
55213,CLLD7,Histone Methyltransferase Family,
83852,CLLD8,Histone Methyltransferase,
55213,CLLL7,Histone Methyltransferase Family,
83852,CLLL8,Histone Methyltransferase,
9575,CLOCK,Acetyltransferase Family,"H3, H4"
63976,CMD1LL,Histone Methyltransferase,
5956,COD5,Histone Acetyltransferase,
25828,COXPD29,Histone Methyltransferase,
10524,cPLA2,Histone Acetyltransferase,
